"id";"match_name";"match_id";"first_team_id";"goal_first";"second_team_id";"goal_second";"schedule";"created_at"
"20";;"1";"211";"1";"207";"1";"2020-02-18 00:00:00";"2020-02-26 02:52:07"
"21";;"1";"212";"4";"199";"4";"2020-02-18 00:00:00";"2020-02-26 02:52:07"
"22";;"1";"208";"2";"213";"1";"2020-02-18 00:00:00";"2020-02-26 02:52:07"
"23";;"1";"215";"2";"172";"2";"2020-02-18 00:00:00";"2020-02-26 02:52:07"
"24";;"1";"172";"0";"208";"1";"2020-02-18 00:00:00";"2020-02-26 02:52:07"
"30";;"1";"211";"0";"210";"4";"2020-02-19 00:00:00";"2020-02-26 02:52:07"
"31";;"1";"209";"1";"218";"0";"2020-02-19 00:00:00";"2020-02-26 02:52:07"
"32";;"1";"210";"4";"207";"2";"2020-02-19 00:00:00";"2020-02-26 02:52:07"
"33";;"1";"218";"3";"215";"2";"2020-02-19 00:00:00";"2020-02-26 02:52:07"
"34";;"1";"209";"3";"172";"2";"2020-02-19 00:00:00";"2020-02-26 02:52:07"
"35";;"1";"213";"1";"172";"3";"2020-02-19 00:00:00";"2020-02-26 02:52:07"
"36";;"1";"214";"0";"213";"0";"2020-02-19 00:00:00";"2020-02-26 02:52:07"
"37";;"1";"199";"2";"172";"2";"2020-02-19 00:00:00";"2020-02-26 02:52:07"
"38";;"1";"209";"3";"215";"7";"2020-02-19 00:00:00";"2020-02-26 02:52:07"
"41";;"1";"209";"1";"199";"0";"2020-02-20 00:00:00";"2020-02-26 02:52:07"
"42";;"1";"208";"3";"207";"1";"2020-02-20 00:00:00";"2020-02-26 02:52:07"
"43";;"1";"215";"6";"172";"5";"2020-02-20 00:00:00";"2020-02-26 02:52:07"
"44";;"1";"210";"5";"172";"4";"2020-02-20 00:00:00";"2020-02-26 02:52:07"
"45";;"1";"113";"0";"93";"0";"2020-02-21 00:00:00";"2020-02-26 02:52:07"
"46";;"1";"93";"0";"113";"0";"2020-02-21 00:00:00";"2020-02-26 02:52:07"
"47";;"1";"223";"0";"113";"0";"2020-02-22 00:00:00";"2020-02-26 02:52:07"
"48";;"1";"93";"0";"117";"0";"2020-02-22 00:00:00";"2020-02-26 02:52:07"
"49";;"1";"93";"0";"117";"0";"2020-02-22 00:00:00";"2020-02-26 02:52:07"
"50";;"1";"93";"0";"113";"0";"2020-02-22 00:00:00";"2020-02-26 02:52:07"
"51";;"1";"117";"0";"121";"0";"2020-02-22 00:00:00";"2020-02-26 02:52:07"
"53";;"1";"208";"4";"210";"5";"2020-02-25 00:00:00";"2020-02-26 02:52:07"
"54";;"1";"209";"2";"215";"0";"2020-02-25 00:00:00";"2020-02-26 02:52:07"
"55";;"1";"210";"5";"209";"5";"2020-02-25 00:00:00";"2020-02-26 02:52:07"
"62";;"6";"249";"2";"247";"1";"2020-03-01 00:00:00";"2020-02-29 02:30:55"
"63";;"6";"245";"5";"172";"2";"2020-03-01 00:00:00";"2020-02-29 02:32:03"
"65";;"6";"242";"3";"248";"1";"2020-03-01 00:00:00";"2020-02-29 03:09:28"
"66";;"6";"239";"2";"240";"2";"2020-03-01 00:00:00";"2020-02-29 03:24:56"
"67";;"6";"249";"0";"242";"0";"2020-03-01 00:00:00";"2020-02-29 03:28:13"
"68";;"6";"247";"2";"248";"2";"2020-03-01 00:00:00";"2020-02-29 03:28:30"
"70";;"6";"249";"4";"250";"1";"2020-03-01 00:00:00";"2020-02-29 03:41:12"
"71";;"6";"172";"0";"245";"0";"2020-03-01 00:00:00";"2020-02-29 03:56:42"
"72";;"6";"251";"4";"239";"4";"2020-03-01 00:00:00";"2020-02-29 04:12:54"
"73";;"6";"245";"3";"240";"4";"2020-03-01 00:00:00";"2020-02-29 04:47:25"
"74";;"6";"247";"5";"250";"4";"2020-03-01 00:00:00";"2020-02-29 06:06:00"
"75";;"6";"251";"5";"252";"7";"2020-03-01 00:00:00";"2020-02-29 06:06:59"
"76";;"6";"245";"0";"239";"0";"2020-03-01 00:00:00";"2020-02-29 06:30:49"
"77";;"6";"249";"3";"248";"0";"2020-03-01 00:00:00";"2020-02-29 06:32:48"
"78";;"6";"247";"0";"242";"0";"2020-03-01 00:00:00";"2020-02-29 06:59:01"
"79";;"6";"240";"5";"252";"2";"2020-03-01 00:00:00";"2020-02-29 07:00:12"
"80";;"6";"242";"0";"250";"0";"2020-03-01 00:00:00";"2020-02-29 07:26:39"
"81";;"6";"251";"0";"240";"7";"2020-03-01 00:00:00";"2020-02-29 07:28:25"
"82";;"6";"250";"1";"248";"4";"2020-03-01 00:00:00";"2020-02-29 07:51:04"
"83";;"6";"252";"0";"239";"1";"2020-03-01 00:00:00";"2020-02-29 07:56:21"
"84";;"6";"240";"0";"249";"0";"2020-03-01 00:00:00";"2020-02-29 08:31:04"
"85";;"6";"247";"0";"252";"0";"2020-03-01 00:00:00";"2020-02-29 08:31:30"
"86";;"6";"252";"0";"249";"0";"2020-03-01 00:00:00";"2020-02-29 08:48:54"
"87";;"6";"247";"5";"240";"4";"2020-03-01 00:00:00";"2020-02-29 08:49:02"
"111";"Bla";"6";"249";"0";"247";"0";"2020-03-11 19:04:00";"2020-03-09 12:04:23"
"112";"Sabda";"6";"249";"0";"247";"0";"2020-03-05 19:04:00";"2020-03-09 12:05:00"
"116";"match 1";"8";"115";"0";"117";"0";"2020-03-10 22:22:00";"2020-03-09 13:07:07"
"117";"fwrf";"8";"117";"0";"115";"0";"2020-03-02 14:32:00";"2020-03-09 13:40:34"
"118";"A";"8";"93";"0";"117";"1";"2020-03-08 14:32:00";"2020-03-09 17:08:17"
"119";"efwgg";"8";"117";"0";"115";"2";"4121-02-23 13:21:00";"2020-03-10 07:14:20"
"120";"Sani";"6";"249";"0";"247";"0";"2020-03-11 12:20:59";"2020-03-11 05:21:03"
"121";"Ger";"6";"249";"0";"247";"0";"2020-03-11 12:21:14";"2020-03-11 05:21:16"
"122";"test room";"8";"289";"3";"290";"0";"2020-03-13 00:00:00";"2020-03-12 11:09:15"
"123";"Lol";"6";"249";"0";"247";"0";"2020-03-12 21:00:24";"2020-03-12 14:00:36"
"124";"Liga sani";"6";"249";"0";"247";"0";"2020-03-12 21:00:52";"2020-03-12 14:01:00"
"130";"Grup A Matchday 1";"5";"273";"2";"230";"3";"2020-03-14 07:45:00";"2020-03-13 23:33:21"
"131";"Grup B Matchday 1";"5";"231";"5";"287";"0";"2020-03-14 08:30:00";"2020-03-14 00:29:53"
"132";"Grup C Matchday 1";"5";"237";"4";"279";"2";"2020-03-14 10:00:00";"2020-03-14 00:31:31"
"133";"Grup D Matchday 1";"5";"257";"7";"275";"4";"2020-03-14 15:30:00";"2020-03-14 00:32:26"
"134";"Grup E Matchday 1";"5";"241";"2";"228";"2";"2020-03-14 16:15:00";"2020-03-14 00:33:21"
"135";"Grup F Matchday 1";"5";"267";"2";"292";"4";"2020-03-14 17:30:00";"2020-03-14 00:34:00"
"136";"Grup G Matchday 1";"5";"253";"1";"265";"4";"2020-03-14 19:15:00";"2020-03-14 00:34:41"
"137";"Grup H Matchday 1";"5";"203";"2";"229";"2";"2020-03-14 20:00:00";"2020-03-14 00:35:27"
"138";"Grup A Matchday 1";"9";"232";"3";"254";"0";"2020-03-14 09:15:00";"2020-03-14 00:36:36"
"140";"Grup C Matchday 1";"9";"233";"0";"278";"1";"2020-03-14 18:15:00";"2020-03-14 00:38:10"
"141";"Grub B Matchday 1";"9";"238";"3";"288";"3";"2020-03-14 14:45:00";"2020-03-14 01:11:06"
"142";"test fc";"8";"289";"6";"290";"2";"2020-03-19 22:22:00";"2020-03-17 05:12:52"
"143";"test 2";"8";"289";"2";"290";"2";"2020-03-24 22:22:00";"2020-03-23 06:53:49"
