"id";"name";"description";"type_formation";"id_formation";"id_head";"picture";"level";"exp";"point";"play";"goal";"Website";"Address";"overall";"win";"lose";"draw";"match_total";"exp_monthly";"play_sparing_monthly";"play_compet_monthly";"goal_monthly";"id_champion";"created_at";"updated_at";"deleted_at"
"93";"Sportigo FC";"Main Tiap Sabtu";"1";"1";"259";"RfheYs8nOnlLQmbMkv75EpDwnlJc48oDq5lY3h90.jpeg";"0";"40";"20";"1";"0";"sportigo.id";NULL;"0";"0";"0";"0";"0";"0";"1";"0";"0";NULL;"2019-11-03 03:07:48";"2019-11-03 03:07:48";NULL
"113";"Cisinn12";"Cisinn12";"0";"0";"274";"SportigoFC.png";"0";"0";"0";"0";"0";"-";"cisitu indah 12";"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-11-23 11:34:42";"2019-11-23 11:34:42";NULL
"114";"lord fc";"fb team";"0";"0";"276";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-11-25 15:13:52";"2019-11-25 15:13:52";NULL
"115";"U2 Team Futsal";"Pemerataan lapangan pekerjaan";"1";"0";"2";"WwNPdWoEoMYVu3aW3xfgADU2Hvxpmhg5rTBaZZY4.jpeg";"0";"120";"34";"4";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-11-26 17:20:02";"2019-11-26 17:20:02";NULL
"116";"KNTL";"-";"0";"0";"284";"Sg8yP0inebhqGSXNb2HmrTn5nosvVUnw9rnTBImG.jpeg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-11-30 17:59:11";"2019-11-30 17:59:11";NULL
"117";"WRBK";"Warung Cibok";"2";"0";"2";"uzYzdKMg3Ug9W5ynhsy6R6248v4q8hT9oG2qcyaS.jpeg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-12-01 04:15:50";"2019-12-01 04:15:50";NULL
"121";"Black";"futsal team";"0";"0";"288";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-12-02 07:53:52";"2019-12-02 07:53:52";NULL
"124";"DOB FC";"bekasi";"0";"0";"226";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-12-02 10:52:34";"2019-12-02 10:52:34";NULL
"137";"GAS FC";"gas terus";"0";"2";"349";"uS0eIaAj3TPYaHeCAT6S7OT1vRsgjV2FcPhFagGB.jpeg";"0";"0";"0";"12";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"12";"0";"0";NULL;"2019-12-06 09:55:18";"2019-12-06 09:55:18";NULL
"143";"tim test melastona 2";"testing purposes";"0";"0";"363";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-12-09 07:42:20";"2019-12-09 07:42:20";NULL
"161";"amanfc";"bermain dengan baik";"0";"0";"388";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-12-16 09:21:57";"2019-12-16 09:21:57";NULL
"162";"SFC";"SFC";"0";"0";"399";"anSdyQFn7gowcbDF454Yx9t71NVqtQtbV0vgEOEE.jpeg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-12-24 12:43:03";"2019-12-24 12:43:03";NULL
"163";"STMJ FC";"Perantau Pemalang";"0";"0";"24";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-12-25 13:42:28";"2019-12-25 13:42:28";NULL
"165";"GACOR FC";"GACOR FC";"0";"0";"47";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-12-27 19:19:00";"2019-12-27 19:19:00";NULL
"166";"BHNL Squad";"BHNL Squad";"0";"0";"401";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2019-12-28 10:51:48";"2019-12-28 10:51:48";NULL
"169";"Impress";"kebon baru";"0";"0";"414";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-01-01 07:36:59";"2020-01-01 07:36:59";NULL
"170";"HCML";"karyawan kantoran";"0";"0";"416";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-01-03 12:06:50";"2020-01-03 12:06:50";NULL
"172";"Fc";"s";"0";"0";"426";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-01-11 02:50:10";"2020-01-11 02:50:10";NULL
"173";"Sparring via Group Facebook";"hubungi no tertera atau chat kami";"0";"0";"229";"1579522469.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-01-11 08:10:33";"2020-01-11 08:10:33";NULL
"175";"STMJ PEMALANG FC";"FUN FOOTBALL";"1";"1";"432";"1578961651.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-01-14 00:16:18";"2020-01-14 00:16:18";NULL
"176";"impress";"kebon baru";"0";"0";"435";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-01-19 08:59:29";"2020-01-19 08:59:29";NULL
"177";"Tongs";"wow";"0";"0";"357";"1579550781.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-01-20 20:05:50";"2020-01-20 20:05:50";NULL
"178";"TERATAI FC";"Team futsal";"0";"0";"441";"1579873484.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-01-24 13:40:23";"2020-01-24 13:40:23";NULL
"179";"D'Daniels FC";"open sparing";"0";"0";"451";"qvPW4ylqi9k9LObAXSqRnX60t6wI7iLOIcdWDYoA.jpeg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-01-30 06:38:18";"2020-01-30 06:38:18";NULL
"180";"PETAKILAN FC";"08977391019";"0";"0";"452";"1580409771.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-01-30 15:52:29";"2020-01-30 15:52:29";NULL
"181";"tambur fc";"futsal";"0";"0";"453";"toKZZlE5aFUAXtJwa2wu81Aeck32AqGBDeXpPSC5.jpeg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-01-30 16:18:37";"2020-01-30 16:18:37";NULL
"182";"Gabres Futsal";"cp : +6289603539975";"0";"0";"454";"i7sfSMFIvR4Vya7fSPQwpCgqyw11TGLp3sZzjOBG.jpeg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-01-31 05:09:04";"2020-01-31 05:09:04";NULL
"183";"San Tara FC";"Whatever it takes";"0";"0";"459";"cMokBS4R3YKbCG7naOKZroMAtQIslKGkybuWYDXV.jpeg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-03 14:13:28";"2020-02-03 14:13:28";NULL
"184";"ALL STAR CITY FC";"jaktim";"0";"0";"449";"1583778234.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-06 11:01:12";"2020-02-06 11:01:12";NULL
"199";"WAJAR FC";"Futsal warjok";"0";"0";"470";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-14 13:08:42";"2020-02-14 13:08:42";NULL
"203";"HMME ""ATMOSPHAIRA"" ITB";"Tim Futsal HMME ""ATMOSPHAIRA"" ITB Sekarang Sudah POT 1";"0";"1";"478";"1581743043.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-15 05:04:03";"2020-02-15 05:04:03";NULL
"204";"OPPAY FC";"-";"0";"0";"435";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-15 17:31:36";"2020-02-15 17:31:36";NULL
"207";"Wajar II";"shaolin soccer";"0";"0";"494";"1581943622.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-17 01:42:35";"2020-02-17 01:42:35";NULL
"208";"Apache";"Apache Futsal Bukan Rokok";"0";"0";"509";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-17 05:06:16";"2020-02-17 05:06:16";NULL
"209";"YBJ";"bodo amat yg penting ngeprak";"0";"0";"514";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-17 06:43:58";"2020-02-17 06:43:58";NULL
"210";"AW";"anak warung";"0";"1";"511";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-17 09:51:58";"2020-02-17 09:51:58";NULL
"211";"warker fc";"abis berak";"0";"0";"467";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-17 10:10:02";"2020-02-17 10:10:02";NULL
"212";"fatilabas";"FTIn18";"0";"0";"531";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-17 10:53:35";"2020-02-17 10:53:35";NULL
"213";"Komeng FC";"Bukan Anak Futsalan";"0";"0";"527";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-17 11:43:04";"2020-02-17 11:43:04";NULL
"214";"Komeng FC";"Bukan Anak Futsalan";"0";"0";"532";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-17 11:45:43";"2020-02-17 11:45:43";NULL
"215";"Civitas";"fun futsal";"0";"0";"533";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-17 12:37:15";"2020-02-17 12:37:15";NULL
"216";"Civitas Fc";"Menjaga silahturahmi";"0";"0";"542";"1581949768.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-17 14:29:28";"2020-02-17 14:29:28";NULL
"217";"FTI yarsi";"Fakultas Teknologi";"0";"0";"547";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-18 02:02:03";"2020-02-18 02:02:03";NULL
"218";"apa aja fc";"jangankan kalah seri aja ogah";"0";"0";"541";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-18 02:46:21";"2020-02-18 02:46:21";NULL
"219";"Radiance Community";"Youth of Renewal Community Church";"0";"0";"342";"1582115919.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-18 17:35:32";"2020-02-18 17:35:32";NULL
"220";"AAj";"futsal";"0";"0";"565";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-19 10:05:29";"2020-02-19 10:05:29";NULL
"221";"civitas";"civitas";"0";"0";"567";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-19 15:50:41";"2020-02-19 15:50:41";NULL
"223";"test team";"test team";"0";"0";"2";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-20 08:45:23";"2020-02-20 08:45:23";NULL
"224";"HIMASTRON";"Tim Futsal Himastron ITB";"0";"0";"498";"1582332428.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-22 00:47:08";"2020-02-22 00:47:08";NULL
"225";"ANAK KOMPLEK FC";"latihan setiap malem Minggu jam 23.00";"2";"0";"576";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-22 05:40:39";"2020-02-22 05:40:39";NULL
"226";"sportigo fc";"bek";"0";"0";"576";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-22 05:45:21";"2020-02-22 05:45:21";NULL
"227";"HMO ""TRITON"" ITB putra";"team futsal dan sepakbola Himpunan Mahasiswa Oseanografi ITB.";"0";"0";"581";"1582476493.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-23 16:46:25";"2020-02-23 16:46:25";NULL
"228";"HMFT-ITB (Pa)";"Himpunan Mahasiswa Fisika Teknik - ITB";"0";"0";"582";"1582646398.jpg";"0";"50";"12";"1";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-25 15:55:04";"2020-02-25 15:55:04";NULL
"229";"MTM ITB FC";"tim futsal dan sepakbola himpunan mahasiswa teknik material itb";"0";"0";"598";"1582770754.jpg";"0";"50";"12";"1";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-27 00:35:10";"2020-02-27 00:35:10";NULL
"230";"HMTG GEA ITB";"HMTG GEA ITB";"0";"0";"599";"1582774876.jpg";"0";"50";"12";"1";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-27 03:41:16";"2020-02-27 03:41:16";NULL
"231";"IMMG (Putra)";"Ikatan Mahasiswa Metalurgi - ITB";"0";"0";"605";"1582797241.jpg";"0";"50";"12";"1";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-27 09:54:02";"2020-02-27 09:54:02";NULL
"232";"IMMG (Putri)";"Ikatan Mahasiswa Metalurgi - ITB";"0";"0";"605";"1582797663.jpg";"0";"50";"12";"1";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-27 10:00:14";"2020-02-27 10:00:14";NULL
"233";"Futsal Putri KMPN ITB";"Futsal Putri KMPN ITB";"0";"0";"610";"SportigoFC.png";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-27 10:36:01";"2020-02-27 10:36:01";NULL
"234";"HMO ""TRITON"" ITB putri";"team futsal dan sepakbola Himpunan Mahasiswa Oseanografi ITB.";"0";"0";"581";"1582817795.jpg";"0";"0";"0";"0";"0";NULL;NULL;"0";"0";"0";"0";"0";"0";"0";"0";"0";NULL;"2020-02-27 15:36:35";"2020-02-27 15:36:35";NULL
